fpr,Transformer,Charlson,Elixhauser,llama,Delpi
0.328767123,0.741467087,0.69538461,0.656622012,0.590074404,0.786221744
0.33072407,0.742734123,0.696865984,0.657966633,0.592239438,0.787728741
0.332681018,0.743810549,0.698347358,0.659311254,0.594404471,0.789451023
0.334637965,0.745532831,0.699828733,0.660655875,0.596569505,0.791173305
0.336594912,0.747255113,0.701310107,0.662000496,0.598734538,0.791603875
0.338551859,0.748546825,0.702791481,0.663345116,0.600899572,0.793110872
0.340508806,0.751776103,0.704272856,0.664689737,0.603064606,0.794833154
0.342465753,0.7532831,0.70575423,0.666034358,0.605229639,0.796555436
0.344422701,0.755005382,0.707235604,0.667378979,0.607394673,0.798277718
0.346379648,0.755866523,0.708716979,0.6687236,0.609559706,0.798923574
0.348336595,0.756727664,0.710198353,0.670068221,0.61172474,0.800645856
0.350293542,0.75780409,0.711679727,0.671412842,0.613889773,0.803444564
0.352250489,0.759526372,0.713161102,0.672757462,0.616054807,0.805166846
0.354207436,0.761248654,0.714642476,0.674102083,0.618219841,0.806889128
0.356164384,0.763186222,0.71612385,0.675446704,0.620384874,0.807750269
0.358121331,0.764408321,0.717605225,0.676791325,0.622549908,0.80861141
0.360078278,0.765479267,0.719086599,0.678135946,0.624714941,0.810118407
0.362035225,0.767061356,0.720567973,0.679480567,0.626747538,0.811194833
0.363992172,0.769860065,0.722049348,0.680825187,0.62876469,0.812917115
0.365949119,0.771582347,0.723530722,0.682169808,0.630781842,0.814208827
0.367906067,0.772443488,0.725012096,0.684207073,0.632798993,0.815285253
0.369863014,0.773089343,0.726493471,0.686430173,0.634816145,0.817007535
0.371819961,0.774811625,0.727974845,0.688653273,0.636768107,0.818729817
0.373776908,0.775672766,0.729456219,0.690876372,0.638557286,0.819806243
0.375733855,0.777179763,0.730937594,0.693099472,0.640346465,0.821097955
0.377690802,0.777825619,0.732418968,0.695322572,0.642135643,0.822174381
0.37964775,0.77911733,0.733900342,0.697545672,0.643924822,0.823250807
0.381604697,0.780624327,0.735381717,0.699768772,0.645714001,0.823466093
0.383561644,0.782131324,0.736863091,0.701991872,0.64750318,0.824973089
0.385518591,0.783853606,0.738344465,0.704507174,0.649292359,0.826695371
0.387475538,0.786320717,0.73982584,0.707062637,0.650983584,0.827771798
0.389432485,0.787944026,0.741307214,0.7096181,0.652620664,0.830139935
0.391389432,0.789235737,0.742788588,0.712173564,0.654257744,0.830785791
0.39334638,0.790958019,0.744269963,0.714729027,0.655894824,0.831646932
0.395303327,0.792379209,0.745751337,0.71728449,0.657531904,0.832723358
0.397260274,0.793756728,0.747232711,0.719839953,0.659168984,0.833369214
0.399217221,0.795048439,0.748714086,0.721455647,0.660919076,0.835522067
0.401174168,0.796340151,0.75019546,0.722301953,0.662603555,0.837029064
0.403131115,0.798062433,0.751676834,0.723148258,0.664288034,0.838751346
0.405088063,0.799138859,0.753158209,0.723994564,0.665972513,0.840043057
0.40704501,0.801291712,0.754639583,0.724840869,0.667656991,0.841119483
0.409001957,0.802152853,0.756120957,0.725687174,0.66934147,0.841980624
0.410958904,0.804736276,0.757602332,0.72653348,0.671025949,0.843272336
0.412915851,0.805286171,0.759083706,0.727379785,0.672710428,0.844564047
0.414872798,0.806889128,0.76056508,0.728226091,0.674394907,0.845640474
0.416829746,0.807750269,0.762046455,0.729072396,0.676321009,0.8467169
0.418786693,0.810118407,0.763527829,0.729918701,0.678900645,0.847362756
0.42074364,0.811625404,0.765009203,0.730765007,0.68148028,0.848439182
0.422700587,0.813347686,0.766490578,0.731611312,0.683323776,0.849085038
0.424657534,0.814424112,0.767971952,0.732457618,0.684521621,0.849515608
0.426614481,0.816576964,0.769453326,0.733303923,0.685719465,0.85080732
0.428571429,0.817438105,0.770934701,0.734150228,0.686706909,0.851453175
0.430528376,0.818299247,0.772416075,0.734996534,0.687536509,0.852314316
0.432485323,0.819806243,0.773897449,0.735842839,0.688366109,0.854251884
0.43444227,0.82131324,0.775378824,0.736689144,0.689195709,0.855758881
0.436399217,0.822174381,0.776860198,0.73753545,0.69066869,0.856835307
0.438356164,0.823681378,0.778341572,0.738381755,0.692582991,0.857050592
0.440313112,0.824542519,0.779822947,0.739228061,0.694497292,0.858127018
0.442270059,0.82658018,0.781304321,0.740074366,0.696411592,0.858557589
0.444227006,0.827987083,0.782785695,0.740920671,0.698325893,0.860064586
0.446183953,0.830441002,0.78426707,0.741766977,0.700146277,0.860710441
0.4481409,0.832397518,0.785748444,0.742613282,0.701941764,0.862002153
0.450097847,0.833799785,0.787229818,0.743459588,0.703737251,0.86393972
0.452054795,0.834660926,0.788440796,0.744305893,0.705563249,0.864800861
0.454011742,0.834876211,0.789196364,0.745152198,0.70762588,0.866092573
0.455968689,0.836383208,0.789951933,0.745998504,0.709688511,0.866738428
0.457925636,0.837244349,0.790707502,0.746844809,0.711751142,0.86846071
0.459882583,0.837890205,0.79146307,0.747691115,0.713813773,0.869106566
0.46183953,0.838966631,0.792218639,0.74853742,0.715876404,0.869752422
0.463796477,0.839827772,0.792974207,0.749383725,0.717939035,0.871474704
0.465753425,0.840473628,0.793729776,0.750230031,0.720001666,0.872335845
0.467710372,0.841119483,0.794485345,0.751076336,0.722064297,0.873842842
0.469667319,0.841765339,0.795240913,0.751922642,0.724126928,0.875324139
0.471624266,0.84262648,0.795996482,0.752768947,0.726189559,0.875349839
0.473581213,0.843057051,0.79675205,0.753615252,0.728252191,0.87621098
0.47553816,0.843487621,0.797507619,0.754461558,0.730118263,0.877287406
0.477495108,0.845209903,0.798263187,0.755307863,0.731965795,0.877717976
0.479452055,0.845640474,0.799018756,0.756154169,0.733813326,0.879009688
0.481409002,0.8467169,0.799774325,0.757000474,0.735660857,0.880516685
0.483365949,0.847793326,0.800529893,0.757846779,0.737508389,0.881808396
